TIMESTAMP,LOG_LEVEL,MESSAGE,USER_ID,MODULE,SERVICE_NAME,STATUS_CODE,IP_ADDRESS,DEVICE_TYPE,OS
2025-02-05 09:00:00,INFO,Application started,12345,Auth,LoginService,200,192.168.1.1,Desktop,Windows
2025-02-05 09:01:00,ERROR,Null pointer exception,12346,DB,DataService,500,192.168.1.2,Mobile,Android
2025-02-05 09:02:00,WARN,Memory usage high,12347,System,CacheService,200,192.168.1.3,Tablet,iOS
2025-02-05 09:03:00,INFO,User logged in,12345,Auth,LoginService,200,192.168.1.1,Desktop,Windows
2025-02-05 09:04:00,ERROR,Database connection lost,12348,DB,DataService,500,192.168.1.4,Mobile,iOS
2025-02-05 09:05:00,INFO,Request processed,12349,API,GatewayService,200,192.168.1.5,Desktop,MacOS
2025-02-05 09:06:00,DEBUG,Cache cleared,12350,System,CacheService,200,192.168.1.6,Desktop,Linux
2025-02-05 09:07:00,ERROR,Timeout while fetching data,12351,API,GatewayService,504,192.168.1.7,Mobile,Android
2025-02-05 09:08:00,INFO,User logged out,12345,Auth,LoginService,200,192.168.1.1,Desktop,Windows
2025-02-05 09:09:00,WARN,CPU usage spiked,12352,System,MonitoringService,200,192.168.1.8,Tablet,iOS
